treatment	response
nem	16.5
nem	15
nem	11.5
nem	12
nem	12.5
nem	9
nem	16
nem	6.5
nem	8
nem	14.5
nem	7
nem	10.5
wasp	11
wasp	15
wasp	9
wasp	9
wasp	11.5
wasp	11
wasp	9
wasp	10
wasp	9
wasp	8
wasp	8
wasp	5
nem+wasp	8.5
nem+wasp	13
nem+wasp	12
nem+wasp	10
nem+wasp	12.5
nem+wasp	8.5
nem+wasp	9.5
nem+wasp	7
nem+wasp	10.5
nem+wasp	10.5
nem+wasp	13
nem+wasp	9
bac	16
bac	14.5
bac	15
bac	9
bac	10.5
bac	14
bac	12.5
bac	9
bac	9
bac	9
bac	6.5
bac	8.5
control	13
control	10.5
control	11
control	10
control	14
control	12
control	11
control	9.5
control	18.5
control	17
control	10
control	11
