treatment_A	treatment_B	response
Low_Light	Control	264
Low_Light	Control	200
Low_Light	Control	225
Low_Light	Control	268
Low_Light	Control	215
Low_Light	Control	241
Low_Light	Control	232
Low_Light	Control	256
Low_Light	Control	229
Low_Light	Control	288
Low_Light	Control	253
Low_Light	Control	288
Low_Light	Control	230
Low_Light	Stress	235
Low_Light	Stress	188
Low_Light	Stress	195
Low_Light	Stress	205
Low_Light	Stress	212
Low_Light	Stress	214
Low_Light	Stress	182
Low_Light	Stress	215
Low_Light	Stress	272
Low_Light	Stress	163
Low_Light	Stress	230
Low_Light	Stress	255
Low_Light	Stress	202
Moderate_Light	Control	314
Moderate_Light	Control	320
Moderate_Light	Control	310
Moderate_Light	Control	340
Moderate_Light	Control	299
Moderate_Light	Control	268
Moderate_Light	Control	345
Moderate_Light	Control	271
Moderate_Light	Control	285
Moderate_Light	Control	309
Moderate_Light	Control	337
Moderate_Light	Control	282
Moderate_Light	Control	273
Moderate_Light	Stress	283
Moderate_Light	Stress	312
Moderate_Light	Stress	291
Moderate_Light	Stress	259
Moderate_Light	Stress	216
Moderate_Light	Stress	201
Moderate_Light	Stress	267
Moderate_Light	Stress	326
Moderate_Light	Stress	241
Moderate_Light	Stress	291
Moderate_Light	Stress	269
Moderate_Light	Stress	282
Moderate_Light	Stress	257
